repo;ci;start;end
adopted-ember-addons/ember-notify;Travis;26/05/2014 02:19;#NAME?
api-platform/api-doc-parser;Travis;23/03/2017 10:27;#NAME?
atmajs/utils;Travis;17/03/2015 11:41;#NAME?
aullman/opentok-layout-js;Travis;03/09/2014 08:43;#NAME?
aureooms/js-d-ary-heap;Travis;07/09/2014 23:32;#NAME?
aureooms/js-heap-spec;Travis;07/09/2014 23:32;#NAME?
aureooms/js-radix-sort;Travis;22/06/2015 11:17;#NAME?
aureooms/js-tape;Travis;25/12/2017 17:25;#NAME?
bameyrick/sort-by-typescript;Travis;13/08/2020 11:39;#NAME?
BreakOutEvent/breakout-frontend;Travis;18/10/2016 23:59;#NAME?
bumped/bumped-terminal;Travis;21/07/2015 12:21;#NAME?
cast-org/figuration;Travis;08/07/2016 19:39;#NAME?
ckeditor/ckeditor5-angular;Travis;20/07/2018 12:21;#NAME?
ckeditor/ckeditor5-vue2;Travis;19/10/2018 17:25;#NAME?
comindware/core-ui;Travis;06/02/2016 02:07;#NAME?
dar5hak/equalsish;Travis;12/08/2015 22:10;#NAME?
dcharbonnier/hydrated-ws;Travis;27/11/2017 18:43;#NAME?
dhoulb/multi-semantic-release;Travis;13/01/2019 15:10;#NAME?
DSI-HUG/dejajs-components;Travis;15/02/2017 16:36;#NAME?
easemob/webim;Travis;12/06/2018 11:54;#NAME?
EasyHexo/vuepress-theme-macgs;Travis;11/02/2019 10:22;#NAME?
edx/frontend-component-cookie-policy-banner;Travis;03/04/2018 17:47;#NAME?
ElemeFE/element;Travis;03/09/2016 14:30;#NAME?
exivity/react-orbitjs;Travis;13/12/2017 14:23;#NAME?
fb55/entities;Travis;17/03/2014 20:30;#NAME?
FYN-Software/component;Travis;05/07/2019 09:32;#NAME?
gilamran/tsc-watch;Travis;12/02/2019 17:49;#NAME?
gisaia/ARLAS-wui-toolkit;Travis;21/02/2018 16:55;#NAME?
hacki11/ioBroker.valloxmv;Travis;24/03/2019 19:01;#NAME?
haiafara/vue-it-bigger;Travis;28/04/2020 13:54;#NAME?
hexojs/hexo-generator-archive;Travis;29/12/2014 12:13;#NAME?
hexojs/hexo-renderer-less;Travis;07/08/2019 06:42;#NAME?
humanmade/coding-standards;Travis;09/05/2017 12:17;#NAME?
iLib-js/ilib-loctool-ghfm;Travis;19/06/2020 19:04;#NAME?
imdone/imdone-core;Travis;24/04/2014 03:39;#NAME?
imgix/drift;Travis;26/12/2015 08:05;#NAME?
ioanungurean/forge-react-app;Travis;20/02/2019 12:22;#NAME?
iobroker-community-adapters/ioBroker.luxtronik1;Travis;23/02/2019 20:11;#NAME?
iobroker-community-adapters/ioBroker.smappee;Travis;18/01/2019 23:01;#NAME?
jakezatecky/d3-funnel;Travis;05/07/2015 06:12;#NAME?
jameskyburz/server-base;Travis;07/06/2017 13:56;#NAME?
jimmy319/amp-react-renderer-plugin;Travis;10/05/2018 18:08;#NAME?
kalkih/mini-media-player;Travis;28/12/2018 19:08;#NAME?
Kikobeats/beauty-error;Travis;05/11/2018 11:33;#NAME?
Kikobeats/css-urls;Travis;22/07/2018 21:24;#NAME?
Kikobeats/finepack;Travis;07/03/2015 21:34;#NAME?
Kikobeats/react-codecopy;Travis;16/03/2018 16:25;#NAME?
kpe/jupyterlab-emacskeys;Travis;11/08/2018 18:57;#NAME?
laurent22/joplin;Travis;08/11/2017 12:41;#NAME?
macacajs/macaca-wd;Travis;24/04/2016 05:02;#NAME?
martijnversluis/ChordJS;Travis;02/02/2016 22:09;#NAME?
meteor/meteor;Travis;11/05/2016 02:32;#NAME?
meyfa/giantdb-crypto;Travis;06/05/2018 13:27;#NAME?
meyfa/writable-wrapper;Travis;03/05/2018 13:15;#NAME?
moxb/moxb;Travis;16/10/2018 14:13;#NAME?
mrichar1/jsonapi-vuex;Travis;15/10/2018 11:13;#NAME?
mrodrig/deeks;Travis;19/11/2018 00:33;#NAME?
MusicalPatterns/pattern-hafuhafu;Travis;01/01/2019 04:05;#NAME?
MusicalPatterns/pattern-omnizonk;Travis;01/01/2019 04:05;#NAME?
MusicalPatterns/pattern-stepwise;Travis;01/01/2019 04:05;#NAME?
MusicalPatterns/pattern-tsraxcfaubdj;Travis;30/01/2019 22:48;#NAME?
MusicalPatterns/pattern-zdaubyaos;Travis;01/01/2019 04:05;#NAME?
optune/onescreener-base-components;Travis;06/07/2018 18:28;#NAME?
paazmaya/grunt-togeojson;Travis;24/09/2013 15:13;#NAME?
particle-iot/particle-cli;Travis;05/08/2015 03:31;#NAME?
peerigon/angular-expressions;Travis;12/03/2014 01:05;#NAME?
petamoriken/float16;Travis;05/05/2017 16:04;#NAME?
pgbross/vue-material-adapter;Travis;07/03/2019 17:41;#NAME?
proteriax/jsx-dom;Travis;17/05/2017 03:10;#NAME?
qntm/green-reg-exp;Travis;14/08/2020 22:10;#NAME?
rastapasta/mapscii;Travis;19/10/2018 05:01;#NAME?
reach/reach-ui;Travis;04/10/2019 21:22;#NAME?
ReactTraining/react-router;Travis;20/06/2014 18:27;#NAME?
rebelstackio/expressif;Travis;24/05/2018 00:37;#NAME?
regevbr/busywait.js;Travis;07/11/2017 23:51;#NAME?
roast-cms/french-press-editor;Travis;26/06/2018 19:43;#NAME?
ryzokuken/easy-crypto;Travis;02/02/2019 06:09;#NAME?
sagemathinc/cocalc;Travis;22/06/2015 19:11;#NAME?
salesforce/tough-cookie;Travis;07/01/2014 01:32;#NAME?
SAP/cf-nodejs-logging-support;Travis;03/02/2017 10:43;#NAME?
SAP/luigi;Travis;22/01/2019 09:57;#NAME?
SAP/spartacus-financial-services-accelerator;Travis;11/02/2020 12:58;#NAME?
sham-ui/sham-ui-test-helpers;Travis;10/06/2019 17:16;#NAME?
Shopify/js-buy-sdk;Travis;18/06/2018 21:02;#NAME?
Siilwyn/get-ci-env;Travis;09/04/2018 09:34;#NAME?
smartfile/client-node;Travis;11/03/2020 16:41;#NAME?
stanford-oval/genie-toolkit;Travis;09/03/2018 23:48;#NAME?
SudoDotDog/Connor;Travis;21/10/2018 07:30;#NAME?
swisspush/apikana;Travis;22/03/2017 19:33;#NAME?
TarikHuber/react-most-wanted;Travis;05/04/2017 13:07;#NAME?
tbroadley/github-spellcheck-cli;Travis;14/12/2017 14:11;#NAME?
tidepool-org/viz;Travis;15/07/2016 02:41;#NAME?
travi/travis-token-updater;Travis;09/08/2018 04:29;#NAME?
twolfson/foundry-release-npm;Travis;12/01/2014 10:23;#NAME?
wenzhixin/bootstrap-table-examples;Travis;17/12/2018 04:06;#NAME?
whawker/react-jsx-highcharts;Travis;28/09/2018 18:40;#NAME?
XuluWarrior/jsonresume-theme-orbit;Travis;08/12/2017 00:33;#NAME?
yashdalfthegray/auto-ngtemplate-loader;Travis;03/06/2017 06:09;#NAME?
yo35/kokopu;Travis;27/05/2018 10:02;#NAME?
zxing-js/library;Travis;09/05/2017 17:01;#NAME?
